                                         GEOID  votes_dem  votes_rep  ...  index_right  District  id
46                                   12095-421       1416        736  ...            8         9   9
47                                   12095-422       1906       1010  ...            8         9   9
48                                   12095-420       2869       1517  ...            8         9   9
51                                   12095-429       2340        974  ...            8         9   9
52                                   12095-427       2774       1275  ...            8         9   9
54                                   12095-428       1551        717  ...            8         9   9
56                                   12095-415       1056        722  ...            8         9   9
64                                   12095-418       1130        826  ...            8         9   9
66                                   12095-419       1317        996  ...            8         9   9
68                                   12095-416          8         19  ...            8         9   9
71                                   12095-417       1855        900  ...            8         9   9
97                                   12097-550        710       1051  ...            8         9   9
98                                   12097-551         22         38  ...            8         9   9
99                                   12097-552         83         68  ...            8         9   9
100                                  12097-553        261        342  ...            8         9   9
161                                  12097-520       2708       3457  ...            8         9   9
163                                  12097-521       2815       3172  ...            8         9   9
165                                  12097-522       2492       2103  ...            8         9   9
166                                  12097-523        411        561  ...            8         9   9
182                                  12105-401       2141       1312  ...            8         9   9
184                                  12105-403       1608       1379  ...            8         9   9
185                                  12105-404       2781       2198  ...            8         9   9
186                                  12105-405        445        350  ...            8         9   9
187                                  12097-580         16         16  ...            8         9   9
189                                  12105-406       1144        945  ...            8         9   9
200                                  12097-570        426        253  ...            8         9   9
202                                  12097-571         28         25  ...            8         9   9
303                                  12105-420        506        398  ...            8         9   9
304                                  12105-421        774        806  ...            8         9   9
327                                  12105-410        365        416  ...            8         9   9
329                                  12105-411       2997       2788  ...            8         9   9
330                                  12105-412       3355       1356  ...            8         9   9
334                                  12105-414        546       1178  ...            8         9   9
342                                  12105-418        550       1624  ...            8         9   9
344                                  12105-419       3624       1577  ...            8         9   9
390                                  12097-500        103        496  ...            8         9   9
391                                  12097-501        190        726  ...            8         9   9
392                                  12097-502        918       2722  ...            8         9   9
394                                  12097-503       2468       1873  ...            8         9   9
395                                  12097-504       2523       3026  ...            8         9   9
396                                  12097-505        452        988  ...            8         9   9
397                                  12097-506        667       2528  ...            8         9   9
399                                  12097-507         18         37  ...            8         9   9
401                                  12097-508        997       1547  ...            8         9   9
617                                  12097-150        582        294  ...            8         9   9
619                                  12097-151       3268       3233  ...            8         9   9
622                                  12097-152          0          0  ...            8         9   9
624                                  12097-153          0          0  ...            8         9   9
627                                  12097-154        777        502  ...            8         9   9
629                                  12097-155        232        297  ...            8         9   9
630                                  12097-156        238        144  ...            8         9   9
631                                  12097-157        399        372  ...            8         9   9
633                                  12097-158        612        293  ...            8         9   9
635                                  12097-159          6         19  ...            8         9   9
668                                  12095-330        899       1115  ...            8         9   9
674                                  12095-337       1360       1546  ...            8         9   9
678                                  12095-338       1105       1136  ...            8         9   9
681                                  12095-335        849       1200  ...            8         9   9
683                                  12095-336       1993       1191  ...            8         9   9
686                                  12095-333        788       1345  ...            8         9   9
688                                  12095-334       1161       1685  ...            8         9   9
690                                  12095-331       1368        985  ...            8         9   9
693                                  12095-332       1025        526  ...            8         9   9
701                                  12097-130        182         85  ...            8         9   9
704                                  12097-131        212        105  ...            8         9   9
707                                  12097-132        353        201  ...            8         9   9
709                                  12097-133         12         16  ...            8         9   9
711                                  12095-339        817        559  ...            8         9   9
712                                  12097-134          0          0  ...            8         9   9
713                                  12097-135          0          2  ...            8         9   9
714                                  12097-136        152        142  ...            8         9   9
715                                  12097-137        181        184  ...            8         9   9
716                                  12097-138         10          2  ...            8         9   9
721                                  12095-326       1809       1566  ...            8         9   9
723                                  12095-327       1527        966  ...            8         9   9
725                                  12095-324       1401       1013  ...            8         9   9
728                                  12095-325       1879       1173  ...            8         9   9
730                                  12095-322       1877       1104  ...            8         9   9
732                                  12095-323       1217        936  ...            8         9   9
734                                  12095-320       1164        944  ...            8         9   9
738                                  12095-321       2217       1081  ...            8         9   9
750                                  12095-328       1027        735  ...            8         9   9
751                                  12095-329       1151        626  ...            8         9   9
759                                  12095-315       1299        653  ...            8         9   9
760                                  12095-316       2219        998  ...            8         9   9
761                                  12095-313       1036        669  ...            8         9   9
762                                  12095-314       2068       1168  ...            8         9   9
764                                  12095-312       1754       1414  ...            8         9   9
771                                  12095-319       1324        761  ...            8         9   9
773                                  12095-317       1800       1085  ...            8         9   9
776                                  12095-318       1434        882  ...            8         9   9
788                                  12095-304       1867       1175  ...            8         9   9
789                                  12095-305       1498       1083  ...            8         9   9
810                                  12069-082       2479       1557  ...            8         9   9
813                                  12069-084       3949       2660  ...            8         9   9
861                                  12097-160        589        290  ...            8         9   9
964                                  12097-210       2536       1221  ...            8         9   9
965                                  12097-211       2385       1636  ...            8         9   9
966                                  12097-212        175         83  ...            8         9   9
977                                  12097-200       4920       2114  ...            8         9   9
978                                  12097-201       1831       1350  ...            8         9   9
980                                  12097-202         23         70  ...            8         9   9
982                                  12097-203        730        391  ...            8         9   9
984                                  12097-204       3914       1777  ...            8         9   9
1161                                 12105-123       1435       1025  ...            8         9   9
1162                                 12105-124       2620       1900  ...            8         9   9
1266                                 12105-103       1881       1561  ...            8         9   9
1267                                 12105-104       1302       1123  ...            8         9   9
1269                                 12105-105       1026        684  ...            8         9   9
1621                                 12097-250        453        206  ...            8         9   9
1623                                 12097-251       1525        959  ...            8         9   9
1655                                  12061-01          5         36  ...            8         9   9
1809                                 12097-300       1844        973  ...            8         9   9
1810                                 12097-301        362        272  ...            8         9   9
1811                                 12097-302       2036       1282  ...            8         9   9
1812                                 12097-303       1985        820  ...            8         9   9
1814                                 12097-304       3636       1333  ...            8         9   9
1815                                 12097-305       3045       1001  ...            8         9   9
1817                                 12097-306       1666        594  ...            8         9   9
1818                                 12097-307       1840       1099  ...            8         9   9
1819                                 12097-308        426        331  ...            8         9   9
1820                                 12097-309        308        287  ...            8         9   9
1849                                 12097-350        298        191  ...            8         9   9
1850                                 12097-351        890        294  ...            8         9   9
1851                                 12097-352        499        214  ...            8         9   9
1853                                 12097-353         27         15  ...            8         9   9
1873                                 12097-331        766        385  ...            8         9   9
2506                                  12055-12        190        694  ...            8         9   9
2529                                 12095-140       3624       2568  ...            8         9   9
2585                                 12095-137       1283        670  ...            8         9   9
2616                                 12095-120       1386       1060  ...            8         9   9
2618                                 12095-121       1559        958  ...            8         9   9
2624                                 12095-126       1831       1700  ...            8         9   9
2628                                 12095-124       3308       1250  ...            8         9   9
2631                                 12095-125       1657       1463  ...            8         9   9
2633                                 12095-122       1309        709  ...            8         9   9
2635                                 12095-123       1584       1101  ...            8         9   9
2664                                 12095-117       1664        941  ...            8         9   9
2665                                 12095-118       1468       1093  ...            8         9   9
2669                                 12095-116       1770       1328  ...            8         9   9
2682                                 12095-119       1880       1185  ...            8         9   9
3157                                 12009-135        492       1140  ...            8         9   9
3167                                 12009-128          0          4  ...            8         9   9
3233                                 12097-110       1406        650  ...            8         9   9
3235                                 12097-111        963        459  ...            8         9   9
3237                                 12097-112       1889       1148  ...            8         9   9
3239                                 12097-113       2216       1280  ...            8         9   9
3254                                 12097-100        331        337  ...            8         9   9
3256                                 12097-101       2190       1344  ...            8         9   9
3257                                 12097-102        123        189  ...            8         9   9
3259                                 12097-103         45         73  ...            8         9   9
3260                                 12097-104       2083       1044  ...            8         9   9
3262                                 12097-105       1330       1151  ...            8         9   9
3263                                 12097-106        437        405  ...            8         9   9
3265                                 12097-107       1772       1034  ...            8         9   9
3267                                 12097-109        166        111  ...            8         9   9
3927                                  12093-02        108        530  ...            8         9   9
4053                                 12105-540        230        857  ...            8         9   9
4079                                 12105-534        201        686  ...            8         9   9
4256                                 12095-628        693        203  ...            8         9   9
4297                                 12095-618        737        353  ...            8         9   9
4301                                 12095-616       1644        383  ...            8         9   9
4497                                  12093-10        198        699  ...            8         9   9
4544                                 12095-634       1476        272  ...            8         9   9
4545                                 12095-632       2330        638  ...            8         9   9
4546                                 12095-633       2195        355  ...            8         9   9
4547                                 12095-630       1224        379  ...            8         9   9
4922                                 12009-424       1651       2140  ...            8         9   9
5104                                 12097-390         25         52  ...            8         9   9
5106                                 12097-391       1352        597  ...            8         9   9
5108                                 12097-392        826        438  ...            8         9   9
5164                                 12009-442          0          8  ...            8         9   9
5168                                 12009-440         20         22  ...            8         9   9
5187                                 12097-360        975        420  ...            8         9   9
5224                                 12095-544       2215       2742  ...            8         9   9
5225                                 12095-545        293       1014  ...            8         9   9
5287                                 12097-420       3576       4081  ...            8         9   9
5295                                 12097-410       1713       1181  ...            8         9   9
5296                                 12097-411       2178       1124  ...            8         9   9
5297                                 12097-412        816        348  ...            8         9   9
5317                                 12097-400        152        557  ...            8         9   9
5318                                 12097-401        287        367  ...            8         9   9
5320                                 12097-402        288        383  ...            8         9   9
5321                                 12097-403       1921       1042  ...            8         9   9
5323                                 12097-405        246        172  ...            8         9   9
5324                                 12097-406       1109        709  ...            8         9   9
5326                                 12097-407        663       1097  ...            8         9   9
5328                                 12097-408        189        275  ...            8         9   9
5340                                 12097-470        598        384  ...            8         9   9
5341                                 12097-471        453        445  ...            8         9   9
5358                                 12097-450        662        386  ...            8         9   9
5359                                 12097-451         55         58  ...            8         9   9
5809                                 12009-522        131        240  ...            8         9   9
26                                  12099-4224        730       1249  ...           19        20  20
219                                 12011-Q091       1241       2328  ...           19        20  20
269                                 12099-2114        312        381  ...           19        20  20
294                                 12011-Q044       5238       4092  ...           19        20  20
322                                 12011-Q071       1393       1079  ...           19        20  20
333                                 12099-2130         56         77  ...           19        20  20
338                                 12099-2132         35         40  ...           19        20  20
341                                 12099-2134        494        413  ...           19        20  20
350                                 12011-Q065       3198       2065  ...           19        20  20
352                                 12011-Q064       1024        832  ...           19        20  20
360                                 12011-Q061       2302       1528  ...           19        20  20
362                                 12011-Q060       2177       1336  ...           19        20  20
367                                 12011-Q062       1572       1118  ...           19        20  20
757                                 12011-T008       1048        820  ...           19        20  20
758                                 12011-T007        616        745  ...           19        20  20
830                                 12011-T015        954        861  ...           19        20  20
850                                 12011-T019        615        605  ...           19        20  20
852                                 12011-T018       2700       3190  ...           19        20  20
924                                 12099-5174       1072       1018  ...           19        20  20
976                                 12099-7024       1259         74  ...           19        20  20
979                                 12099-7026       1840         64  ...           19        20  20
981                                 12099-7025        242         52  ...           19        20  20
983                                 12099-7028       1466        158  ...           19        20  20
993                                 12099-7022        904        223  ...           19        20  20
1003                                12099-5130        823        690  ...           19        20  20
1006                                12099-7012        923        245  ...           19        20  20
1009                                12099-7016          2          1  ...           19        20  20
1030                                12099-7010        226         21  ...           19        20  20
1062                                12011-H006       1170        283  ...           19        20  20
1064                                12011-H005       1996        289  ...           19        20  20
1065                                12011-H008       1164        192  ...           19        20  20
1066                                12011-H007       1438        276  ...           19        20  20
1067                                12011-H002        728         89  ...           19        20  20
1068                                12011-H001       1795        294  ...           19        20  20
1071                                12011-H004        860        183  ...           19        20  20
1073                                12011-H003       2252        314  ...           19        20  20
1075                                12099-5152       1169       1031  ...           19        20  20
1083                                12011-H009        678        112  ...           19        20  20
1166                                12011-H011       1625        483  ...           19        20  20
1168                                12011-H010        190         49  ...           19        20  20
1194                                12099-7090       1482        587  ...           19        20  20
1222                                12099-7082       1041        403  ...           19        20  20
1228                                12099-7084        799        332  ...           19        20  20
1233                                12099-7086         43         12  ...           19        20  20
1237                                12099-7088        794        590  ...           19        20  20
1261                                12099-7078        372        110  ...           19        20  20
1270                                12099-7070        575        452  ...           19        20  20
1276                                12099-7072        505        162  ...           19        20  20
1282                                12099-7074        186         39  ...           19        20  20
1286                                12099-7076          3          2  ...           19        20  20
1364                                12099-7092        148         50  ...           19        20  20
1367                                12099-7094        631        127  ...           19        20  20
1369                                12099-7096        904        387  ...           19        20  20
1374                                12099-7098         10         21  ...           19        20  20
1392                                12099-7046         29         35  ...           19        20  20
1395                                12099-7048        245         10  ...           19        20  20
1404                                12099-7040        946         47  ...           19        20  20
1407                                12099-7042       1348         87  ...           19        20  20
1409                                12099-7041        347         32  ...           19        20  20
1412                                12099-7044       1109        109  ...           19        20  20
1438                                12099-7034       1255        261  ...           19        20  20
1441                                12099-7036          0          2  ...           19        20  20
1450                                12099-7030        239        324  ...           19        20  20
1464                                12099-7068        873        256  ...           19        20  20
1467                                12099-7060       1047         81  ...           19        20  20
1468                                12099-7062        612         55  ...           19        20  20
1470                                12099-7064       1164        170  ...           19        20  20
1473                                12099-7066        907        216  ...           19        20  20
1501                                12099-7058       1437        451  ...           19        20  20
1506                                12099-7050          0          2  ...           19        20  20
1510                                12099-7054        817        102  ...           19        20  20
1585                                12011-C034       1196        786  ...           19        20  20
1587                                12011-C033        392        272  ...           19        20  20
1589                                12011-C036        230         69  ...           19        20  20
1590                                12011-C035        918        146  ...           19        20  20
1592                                12011-C030        912        776  ...           19        20  20
1594                                12011-C032        247         70  ...           19        20  20
1595                                12011-C031       1024        671  ...           19        20  20
1598                                12011-K011       1222        141  ...           19        20  20
1599                                12011-C037        442        395  ...           19        20  20
1602                                12011-K010        454         60  ...           19        20  20
1611                                12011-C023       2918       1771  ...           19        20  20
1617                                12011-C025        483         75  ...           19        20  20
1620                                12011-C024       1436        879  ...           19        20  20
1625                                12011-C021        863        627  ...           19        20  20
1627                                12011-C020        644        135  ...           19        20  20
1633                                12011-K001       1002         79  ...           19        20  20
1634                                12011-C027        309         99  ...           19        20  20
1635                                12011-K003       2074        137  ...           19        20  20
1636                                12011-C026        339        166  ...           19        20  20
1638                                12011-K002       1170        101  ...           19        20  20
1639                                12011-C029        382        299  ...           19        20  20
1640                                12011-C028       1918        112  ...           19        20  20
1641                                12011-K009       1247        177  ...           19        20  20
1642                                12011-K008       1123        121  ...           19        20  20
1643                                12011-K005       1083         74  ...           19        20  20
1645                                12011-K004       1460        103  ...           19        20  20
1647                                12011-K007       1326         75  ...           19        20  20
1649                                12011-K006       1279         92  ...           19        20  20
1791                                12011-C016       1182       1408  ...           19        20  20
1792                                12011-C015       1603        171  ...           19        20  20
1800                                12011-C009        464        213  ...           19        20  20
1802                                12011-C005       1596         73  ...           19        20  20
1805                                12011-C007        188        248  ...           19        20  20
1806                                12011-C006       2145        191  ...           19        20  20
1934                                 12021-502        137        435  ...           19        20  20
2029                                12011-N020       1018        731  ...           19        20  20
2036                                12011-N026       1353        551  ...           19        20  20
2038                                12011-N025       1798        948  ...           19        20  20
2039                                12011-N028        824        762  ...           19        20  20
2041                                12011-N027        239        213  ...           19        20  20
2042                                12011-N022       2066       1134  ...           19        20  20
2045                                12011-N021        897        771  ...           19        20  20
2047                                12011-N024        990        660  ...           19        20  20
2049                                12011-N023       1472        838  ...           19        20  20
2085                                12011-N015       2072       1085  ...           19        20  20
2086                                12011-N014       1595        573  ...           19        20  20
2087                                12011-N017       1105        524  ...           19        20  20
2088                                12011-N016        828        746  ...           19        20  20
2091                                12011-N011        592        629  ...           19        20  20
2093                                12011-N010        791        586  ...           19        20  20
2096                                12011-N013        739        393  ...           19        20  20
2097                                12011-N012       1001        417  ...           19        20  20
2106                                12011-N019        684        397  ...           19        20  20
2108                                12011-N018       1341        642  ...           19        20  20
2149                                12099-8002        135         72  ...           19        20  20
2168                                 12086-462       1952       2430  ...           19        20  20
2177                                  12051-07        349       1297  ...           19        20  20
2178                                  12051-06        388        792  ...           19        20  20
2180                                  12051-04         81         62  ...           19        20  20
2205                                12011-N004       1365        948  ...           19        20  20
2206                                12011-N003        628        422  ...           19        20  20
2207                                12011-N006        794        944  ...           19        20  20
2208                                12011-N005        402        265  ...           19        20  20
2209                                12011-N002       1386        187  ...           19        20  20
2210                                12011-N001       1411        262  ...           19        20  20
2211                                12011-N008       1595        986  ...           19        20  20
2212                                12011-N007        874        648  ...           19        20  20
2214                                12011-N009        684        322  ...           19        20  20
2406                                12099-5007          5          1  ...           19        20  20
2409                                12099-5004          1          2  ...           19        20  20
2544                                12099-6232        740        918  ...           19        20  20
2598                                12011-J022       1253        470  ...           19        20  20
2600                                12011-J021       1360        682  ...           19        20  20
2602                                12011-J024        699        253  ...           19        20  20
2605                                12011-J023        817        438  ...           19        20  20
2611                                12011-J020       1068        279  ...           19        20  20
2639                                12011-J011       1842        740  ...           19        20  20
2640                                12011-J010        923        417  ...           19        20  20
2641                                12011-J013       1313        428  ...           19        20  20
2643                                12011-J012       2784       1056  ...           19        20  20
2647                                12011-J019       2191        925  ...           19        20  20
2648                                12011-J018       1258        488  ...           19        20  20
2653                                12011-J015       1057        447  ...           19        20  20
2655                                12011-J014       1099        470  ...           19        20  20
2658                                12011-J017       1210        248  ...           19        20  20
2660                                12011-J016        437        165  ...           19        20  20
2737                                12099-2016        951        678  ...           19        20  20
2739                                12099-2018        877        896  ...           19        20  20
2758                                12099-2010        600        434  ...           19        20  20
2762                                  12043-09         20         97  ...           19        20  20
2763                                12099-2014        902        692  ...           19        20  20
2767                                12011-J002        940        510  ...           19        20  20
2770                                12011-J001        970        364  ...           19        20  20
2772                                12011-J008        270        116  ...           19        20  20
2773                                12011-J007       1341        348  ...           19        20  20
2777                                12011-J009        938        419  ...           19        20  20
2779                                12011-J004       1276        475  ...           19        20  20
2781                                12011-J003        938        540  ...           19        20  20
2783                                12011-J006        383        210  ...           19        20  20
2785                                12011-J005       1065        425  ...           19        20  20
2806                                12099-2002        200        124  ...           19        20  20
2836                                  12085-16        861       1377  ...           19        20  20
2858                                12011-M014       1137        697  ...           19        20  20
2860                                12011-M013        953        270  ...           19        20  20
2861                                12011-M016        355        185  ...           19        20  20
2862                                12011-M015       1264        529  ...           19        20  20
2864                                12011-M010        591        313  ...           19        20  20
2867                                12011-M012       1218        756  ...           19        20  20
2869                                12011-M011        588        239  ...           19        20  20
2872                                12011-M018        601        253  ...           19        20  20
2873                                12011-M017        527        258  ...           19        20  20
2874                                12011-M019        743        346  ...           19        20  20
2883                                12011-M003       2137        261  ...           19        20  20
2885                                12011-M002       1871        251  ...           19        20  20
2886                                12011-M005       1068        317  ...           19        20  20
2888                                12011-M004        998        152  ...           19        20  20
2890                                12011-M001       1082        682  ...           19        20  20
2893                                12011-M007        619        262  ...           19        20  20
2895                                12011-M006        574        259  ...           19        20  20
2897                                12011-M009       1303        478  ...           19        20  20
2899                                12011-M008        959        383  ...           19        20  20
2907                                12011-M030       1999       1216  ...           19        20  20
2917                                12011-M032        825        228  ...           19        20  20
2920                                12011-M031        623        110  ...           19        20  20
2933                                12011-M025       1541       1248  ...           19        20  20
2936                                12011-M024        890        347  ...           19        20  20
2938                                12011-M027        495        303  ...           19        20  20
2939                                12011-M026       1419        513  ...           19        20  20
2940                                12099-2062          6          2  ...           19        20  20
2942                                12011-M021        699        304  ...           19        20  20
2944                                12011-M020       1723        647  ...           19        20  20
2946                                12011-M023       1341        615  ...           19        20  20
2947                                12011-M022       1618        961  ...           19        20  20
2948                                12099-2066        166         86  ...           19        20  20
2949                                12099-2068        453        293  ...           19        20  20
2952                                12011-M029        906        646  ...           19        20  20
2953                                12011-M028       1210        385  ...           19        20  20
2955                                12099-2060        283        256  ...           19        20  20
2962                                12099-2098        366        300  ...           19        20  20
2979                                12099-2088        881        618  ...           19        20  20
2983                                12099-2080        178        199  ...           19        20  20
2987                                12099-2082        168        328  ...           19        20  20
2990                                12099-2038        774        227  ...           19        20  20
2997                                12099-2030        560        173  ...           19        20  20
2999                                12099-2032         56         29  ...           19        20  20
3000                                12099-2036        704        501  ...           19        20  20
3004                                12099-2026        617        403  ...           19        20  20
3005                                12099-2028        308        250  ...           19        20  20
3006                                12099-2021        178         64  ...           19        20  20
3007                                12099-2020        203        120  ...           19        20  20
3010                                12099-2024        736        504  ...           19        20  20
3027                                12099-2052        576        208  ...           19        20  20
3028                                12099-2054       1279        390  ...           19        20  20
3029                                12099-2056        565        388  ...           19        20  20
3030                                12099-2058          1          2  ...           19        20  20
3032                                12099-2050         17         19  ...           19        20  20
3034                                12099-2048          2          1  ...           19        20  20
3043                                12099-2041        475        264  ...           19        20  20
3045                                12099-2040        740        350  ...           19        20  20
3050                                12099-2044        965        345  ...           19        20  20
3054                                12099-2046        391        281  ...           19        20  20
3061                                12011-E013       1220        757  ...           19        20  20
3064                                12011-E015        675        556  ...           19        20  20
3067                                12011-E010       2137       1221  ...           19        20  20
3078                                12011-E018        505        443  ...           19        20  20
3103                                12011-E004       2032        919  ...           19        20  20
3124                                12011-E008       1571        855  ...           19        20  20
3129                                12011-E032       1174        747  ...           19        20  20
3130                                12011-E031       1090        754  ...           19        20  20
3132                                12011-E033       1099        699  ...           19        20  20
3138                                12011-E024       1921       1095  ...           19        20  20
3142                                12011-E026        988        517  ...           19        20  20
3150                                12011-E029        806        238  ...           19        20  20
3227                                12099-5054       1455       1486  ...           19        20  20
3417                                12099-1282         75         61  ...           19        20  20
3425                                12099-1280        163        189  ...           19        20  20
3426                                12099-1278        383        251  ...           19        20  20
3466                                12099-1218          1          0  ...           19        20  20
3511                                12011-A010        424        516  ...           19        20  20
3513                                12011-A012        948        687  ...           19        20  20
3515                                12011-A011       1423         71  ...           19        20  20
3522                                12011-A018        825        179  ...           19        20  20
